Token,Frequency,Synonyms
calling,14,"['calling', 'call_up', 'scream', 'call', 'foretell', 'address', 'vocation', 'shout', 'cry', 'holler', 'shout_out', 'bid', 'telephone', 'prognosticate', 'ring', 'squall', 'predict', 'promise', 'yell', 'phone', 'call_off', 'send_for', 'call_in', 'anticipate', 'forebode', 'name', 'visit', 'hollo', 'career']"
speakerpelosi,14,['speakerpelosi']
facebook,14,['facebook']
based,14,"['based', 'ground', 'found', 'base', 'establish', 'free-base']"
wrong,14,"['wrong', 'wrongfulness', 'wrongly', 'damage', 'untimely', 'amiss', 'ill-timed', 'unseasonable', 'incorrectly', 'awry', 'legal_injury', 'improper', 'incorrect', 'haywire', 'faulty']"
folk,14,"['folk', 'common_people', 'kinsfolk', 'family', 'ethnic_music', 'folk_music', 'tribe', 'sept', 'kinfolk', 'family_line', 'phratry', 'folks']"
newsmax,14,['newsmax']
cruz,14,['cruz']
seanhannity,14,['seanhannity']
promise,14,"['promise', 'prognosticate', 'foretell', 'predict', 'assure', 'call', 'hope', 'anticipate', 'forebode']"
dear,14,"['dear', 'dearly', 'lamb', 'pricy', 'near', 'beloved', 'earnest', 'dearest', 'darling', 'honey', 'devout', 'love', 'pricey', 'heartfelt', 'costly', 'affectionately', 'good', 'high-priced']"
play,14,"['play', 'take_on', 'fun', 'gambling', 'trifle', 'spiel', 'shimmer', 'encounter', 'recreate', 'looseness', 'frolic', 'caper', 'meet', 'bid', 'dally', 'playact', 'toy', 'roleplay', 'diddle', 'gaming', 'manoeuvre', 'swordplay', 'act', 'bet\', ""child\'s_play"", \'drama', 'romp', 'wreak', 'dramatic_play', 'flirt', 'maneuver', 'sport', 'make_for', 'fiddle', 'period_of_play', 'free_rein', 'represent', 'bring', 'turn', 'work', 'act_as', 'wager', 'playing_period', 'run', 'gambol']"
held,14,"['held', 'harbour', 'check', 'deem', 'obtain', 'moderate', 'prevail', 'go_for', 'withstand', 'declare', 'keep_back', 'take_hold', 'adjudge', 'entertain', 'control', 'defy', 'hold', 'book', 'sustain', 'accommodate', 'maintain', 'defend', 'concord', 'curb', 'oblige', 'obligate', 'have_got', 'view_as', 'restrain', 'reserve', 'arrest', 'confine', 'concur', 'throw', 'bind', 'take', 'keep', 'contain', 'make', 'guard', 'hold_in', 'hold_up', 'support', 'apply', 'give', 'bear', 'harbor', 'halt', 'agree', 'take_for', 'carry', 'retain', 'admit', 'have', 'nurse', 'hold_back']"
2021,14,['2021']
dead,14,"['dead', 'abruptly', 'stagnant', 'drained', 'idle', 'deadened', 'suddenly', 'absolutely', 'perfectly', 'utterly', 'utter', 'beat', 'numb', 'all_in', 'bushed', 'short']"
seems,14,"['seems', 'seem', 'appear', 'look']"
safe,14,"['safe', 'safety', 'rubber', 'good', 'secure', 'dependable', 'condom', 'prophylactic']"
least,14,"['least', 'to_the_lowest_degree']"
putin,14,"['putin', 'Putin', 'Vladimir_Vladimirovich_Putin', 'Vladimir_Putin']"
navalny,14,['navalny']
yorkietime2,14,['yorkietime2']
direct,14,"['direct', 'aim', 'unmediated', 'calculate', 'orchestrate', 'organize', 'take_aim', 'conduct', 'manoeuver', 'directly', 'channelize', 'head', 'lead', 'address', 'guide', 'lineal', 'send', 'train', 'engineer', 'mastermind', 'point', 'manoeuvre', 'straight', 'channelise', 'take', 'target', 'verbatim', 'steer', 'organise', 'place', 'maneuver']"
damn,14,"['damn', 'goddamned', 'beshrew', 'bloody', 'anathemise', 'blame', 'bedamn', 'blasted\', ""tinker\'s_dam"", \'curse', 'all-fired', 'infernal', 'blamed', 'anathemize', 'blessed', 'darned', 'deuced', 'hoot', 'damned', 'goddam', 'red_cent\', ""tinker\'s_damn"", \'shit', 'shucks', 'goddamn', 'darn', 'maledict', 'imprecate']"
communist,14,"['communist', 'communistic', 'commie', 'Communist']"
ava4usa,14,['ava4usa']
iamsrk,14,['iamsrk']
Pfannkuchen,14,"['Pfannkuchen', 'german_pancake', 'pfannkuchen']"
statsawards,14,['statsawards']
dieci,14,['dieci']
entire,13,"['entire', 'full', 'stallion', 'integral', 'intact', 'total']"
couple,13,"['couple', 'pair', 'twin', 'mate', 'couple_up', 'twosome', 'duo', 'distich', 'copulate', 'duet', 'match', 'brace', 'span', 'mates', 'dyad', 'duad', 'pair_off', 'partner_off', 'yoke', 'couple_on', 'twain', 'couplet']"
admin,13,['admin']
longer,13,"['longer', 'long', 'farsighted', 'farseeing', 'longsighted', 'yearner', 'foresighted', 'recollective', 'prospicient', 'retentive', 'tenacious', 'foresightful', 'thirster']"
michigan,13,"['michigan', 'Chicago', 'Lake_Michigan', 'Michigan', 'boodle', 'MI', 'Newmarket', 'stops', 'Wolverine_State', 'Great_Lakes_State']"
happened,13,"['happened', 'pass_off', 'take_place', 'befall', 'go_on', 'bump', 'come_about', 'find', 'happen', 'fall_out', 'materialize', 'pass', 'encounter', 'occur', 'chance', 'bechance', 'materialise', 'hap']"
check,13,"['check', 'check_out', 'hinderance', 'learn', 'go_over', 'check_over', 'check_mark', 'chit', 'confirmation', 'checker', 'ensure', 'impediment', 'gibe', 'checkout', 'stay', 'curb', 'contain', 'assay', 'look_into', 'stop', 'handicap', 'hold_in', 'control', 'mark', 'tick', 'watch', 'insure', 'hold', 'determine', 'turn_back', 'crack', 'correspond', 'find_out', 'arrest', 'substantiation', 'fit', 'chip', 'train', 'chequer', 'hold_back', 'chink', 'tab', 'halt', 'hitch', 'check_off', 'agree', 'mark_off', 'deterrent', 'check-out_procedure', 'verification', 'ascertain', 'match', 'bridle', 'condition', 'retard', 'see_to_it', 'moderate', 'check_into', 'discipline', 'stoppage', 'cheque', 'balk', 'tick_off', 'check_up_on', 'bank_check', 'assure', 'baulk', 'see', 'break', 'hindrance', 'delay', 'suss_out', 'jibe', 'tally']"
allowed,13,"['allowed', 'take_into_account', 'earmark', 'grant', 'reserve', 'set_aside', 'allow', 'permit', 'appropriate', 'let', 'leave', 'countenance', 'admit', 'allow_for', 'give_up', 'tolerate', 'provide']"
difference,13,"['difference', 'divergence', 'conflict', 'remainder', 'dispute', 'deviation', 'departure', 'difference_of_opinion']"
face,13,"['face', 'fount', 'case', 'nerve', 'facial_expression', 'present', 'cheek', 'face_up', 'side', 'human_face', 'brass', 'boldness', 'typeface', 'expression', 'front', 'grimace', 'look', 'font', 'confront', 'aspect']"
started,13,"['started', 'get_going', 'bug_out', 'set_out', 'jump', 'startle', 'start_out', 'bulge_out', 'embark_on', 'start_up', 'set_about', 'get_down', 'lead_off', 'depart', 'commence', 'set_off', 'start', 'go', 'protrude', 'come_out', 'pop_out', 'begin', 'take_off', 'originate', 'get', 'initiate', 'bulge', 'set_forth', 'part', 'pop', 'take_up']"
energy,13,"['energy', 'get-up-and-go', 'vigour', 'vitality', 'zip', 'Energy_Department', 'push', 'muscularity', 'free_energy', 'vim', 'vigor', 'Department_of_Energy', 'DOE', 'Energy']"
sick,13,"['sick', 'purge', 'disgusted', 'disgorge', 'chuck', 'spue', 'mad', 'grim', 'sick_of', 'regurgitate', 'honk', 'pale', 'crazy', 'cast', 'unhinged', 'macabre', 'pallid', 'nauseous', 'brainsick', 'vomit_up', 'throw_up', 'vomit', 'wan', 'ill', 'unbalanced', 'cat', 'demented', 'retch', 'regorge', 'disturbed', 'sickish', 'queasy', 'tired_of', 'be_sick', 'barf', 'puke', 'nauseated', 'spew', 'grisly', 'fed_up', 'upchuck', 'ghastly', 'gruesome']"
flotus,13,['flotus']
court,13,"['court', 'motor_inn', 'Court', 'motor_hotel', 'court_of_justice', 'Margaret_Court', 'solicit', 'tribunal', 'woo', 'courtyard', 'courtroom', 'judicature', 'homage', 'romance', 'tourist_court', 'lawcourt', 'court_of_law', 'royal_court', 'motor_lodge']"
general,13,"['general', 'world-wide', 'oecumenical', 'full_general', 'cosmopolitan', 'worldwide', 'universal', 'ecumenical', 'superior_general']"
following,13,"['following', 'succeed', 'take_after', 'follow', 'surveil', 'stick_to', 'chase', 'pursual', 'pursue', 'watch_over', 'trace', 'espouse', 'come_after', 'pursuit', 'next', 'play_along', 'followers', 'keep_abreast', 'be', 'stick_with', 'comply', 'survey', 'undermentioned', 'keep_an_eye_on', 'accompany', 'come', 'observe', 'conform_to', 'postdate', 'travel_along', 'fall_out', 'keep_up', 'watch', 'adopt', 'abide_by']"
hello,12,"['hello', 'hi', 'hullo', 'howdy', 'how-do-you-do']"
success,11,"['success', 'achiever', 'succeeder', 'winner']"
panademic,10,"['panademic', 'covid', '19', 'condition', 'covid19', 'coronavirus', 'strain', 'pathogen', 'mask', 'body', 'herd', 'underlying', 'asymptomatic', 'anti', 'novel', 'isolation', 'vaccin', 'quarantine', 'outbreak', 'distan', 'ventilator', 'presymptomatic', 'patient', 'incubation', 'immunity', 'spread', 'anti-body', 'n95', 'epidemic']"
dress,9,"['dress', 'get_dressed', 'coif', 'decorate', 'cut_back', 'trim', 'dress_up', 'prune', 'curry', 'attire', 'snip', 'do', 'apparel', 'frock', 'set', 'coiffure', 'lop', 'groom', 'crop', 'habilitate', 'line_up', 'fit_out', 'dress_out', 'garb', 'arrange', 'primp', 'clothes', 'tog', 'clip', 'coiffe', 'garment', 'plume', 'garnish', 'raiment', 'enclothe', 'full-dress', 'clothe', 'preen', 'wearing_apparel']"
